app,compose_path,status,problem_category,fixed_this_run,blank_fields,main_image,metadata_version,updateAt,source_or_evidence,notes
HomeAssistant,Apps/HomeAssistant/docker-compose.yml,ok,,,,homeassistant/home-assistant:2025.11,2025.11,2025-11-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Homebridge,Apps/Homebridge/docker-compose.yml,ok,,,,homebridge/homebridge:latest,latest,2026-03-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Hugo,Apps/Hugo/docker-compose.yml,ok,,,,ghcr.io/gohugoio/hugo:v0.152.2,v0.152.2,2025-10-24,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Immich,Apps/Immich/docker-compose.yml,ok,,,,ghcr.io/immich-app/immich-server:v2.7.2,v2.7.2,2026-04-07,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Index-TTS,Apps/Index-TTS/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/index-tts:2.0,2.0,2026-01-08,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Index-TTS_Nvidia,Apps/Index-TTS_Nvidia/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,icewhaletech/index-tts:2.0,2.0,2026-01-08,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jackett,Apps/Jackett/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/jackett:0.24.1841,website,linuxserver/jackett:0.24.1841,0.24.1841,2026-05-11,https://github.com/Jackett/Jackett/releases/tag/v0.24.1841,
JDownloader2,Apps/JDownloader2/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,"website,repo",jlesage/jdownloader-2:latest,latest,2024-01-25,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyfin,Apps/Jellyfin/docker-compose.yml,ok,,,,linuxserver/jellyfin:10.10.7,10.10.7,2025-04-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyfin_Nvidia,Apps/Jellyfin_Nvidia/docker-compose.yml,ok,,,,linuxserver/jellyfin:10.10.6,10.10.6,2025-02-16,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,ok,,,,fallenbagel/jellyseerr:2.7.3,2.7.3,2025-08-14,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Jenkin,Apps/Jenkin/docker-compose.yml,ok,,,,jenkins/jenkins:lts-jdk17,lts-jdk17,2024-10-24,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Kavita,Apps/Kavita/docker-compose.yml,ok,,,,jvmilazz0/kavita:0.8.8,0.8.8,2025-10-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Komga,Apps/Komga/docker-compose.yml,ok,,,,gotson/komga:1.23.6,1.23.6,2025-11-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LabelStudio,Apps/LabelStudio/docker-compose.yml,ok,,,,heartexlabs/label-studio:1.9.2,1.9.2,2023-11-07,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LangFlow,Apps/LangFlow/docker-compose.yml,ok,,,,langflowai/langflow:1.5.0,1.5.0,2025-07-08,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lazylibrarian,Apps/Lazylibrarian/docker-compose.yml,ok,,,,linuxserver/lazylibrarian:version-169e669f,version-169e669f,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LibreChat,Apps/LibreChat/docker-compose.yml,ok,,,,ghcr.io/danny-avila/librechat-dev:latest,latest,2026-04-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lidarr,Apps/Lidarr/docker-compose.yml,ok,,,,linuxserver/lidarr:3.1.0,3.1.0,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Linkwarden,Apps/Linkwarden/docker-compose.yml,fixed_this_run,null_support_after_upstream_merge,support 从 YAML null 规范化为空字符串,support,ghcr.io/linkwarden/linkwarden:v2.14.1,v2.14.1,2026-04-22,local structural scan,
LLaMA-Factory_Nvidia,Apps/LLaMA-Factory_Nvidia/docker-compose.yml,ok,,,,hiyouga/llamafactory:0.9.4,0.9.4,2025-12-31,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Logseq,Apps/Logseq/docker-compose.yml,ok,,,,correctroad/logseq:v0.10.10,v0.10.10,2025-05-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Lucky,Apps/Lucky/docker-compose.yml,ok,,,,gdy666/lucky:2.20.2,2.20.2,2025-11-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
LyrionMusicServer,Apps/LyrionMusicServer/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,support,lmscommunity/lyrionmusicserver:9.1.0,9.1.0,2026-02-19,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
MariaDB,Apps/MariaDB/docker-compose.yml,ok,,,,linuxserver/mariadb:11.4.8,11.4.8,2025-08-06,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Maybe,Apps/Maybe/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ghcr.io/maybe-finance/maybe:latest,latest,2025-09-04,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Medusa,Apps/Medusa/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,pymedusa/medusa:master,master,2024-03-26,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Memos,Apps/Memos/docker-compose.yml,ok,,,,neosmemo/memos:0.25,0.25,2025-07-16,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
MineOS,Apps/MineOS/docker-compose.yml,ok,,,,hexparrot/mineos:latest,latest,2023-11-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Mongo,Apps/Mongo/docker-compose.yml,ok,,,,mongo:8.2.2,8.2.2,2025-12-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
MongoDB4,Apps/MongoDB4/docker-compose.yml,ok,,,,mongo:4.4.22,4.4.22,2024-01-25,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Monica,Apps/Monica/docker-compose.yml,ok,,,,monica:4.1.2,4.1.2,2024-05-04,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Motioneye,Apps/Motioneye/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ccrisan/motioneye:master-amd64,master-amd64,2024-01-25,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Mylar3,Apps/Mylar3/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,linuxserver/mylar3:0.8.3,0.8.3,2025-08-17,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
MySpeed,Apps/MySpeed/docker-compose.yml,ok,,,,germannewsmaker/myspeed:1.0.9,1.0.9,2024-05-21,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
N8n,Apps/N8n/docker-compose.yml,ok,,,,n8nio/n8n:1.123.0,1.123.0,2025-12-01,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Navidrome,Apps/Navidrome/docker-compose.yml,ok,,,,deluan/navidrome:0.58.5,0.58.5,2025-11-09,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
NetBird,Apps/NetBird/docker-compose.yml,ok,,,,netbirdio/netbird:0.62.3,0.62.3,2026-01-12,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Netdata,Apps/Netdata/docker-compose.yml,ok,,,,netdata/netdata:v2.8.1,v2.8.1,2025-11-21,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Nextcloud,Apps/Nextcloud/docker-compose.yml,ok,,,,nextcloud:32.0,32.0,2025-09-27,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
NginxProxyManager,Apps/NginxProxyManager/docker-compose.yml,ok,,,,jc21/nginx-proxy-manager:2.13.5,2.13.5,2025-11-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Node-RED,Apps/Node-RED/docker-compose.yml,ok,,,,nodered/node-red:4.1.2,4.1.2,2025-12-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Nzbget,Apps/Nzbget/docker-compose.yml,ok,,,,linuxserver/nzbget:25.4.20251205,25.4.20251205,2025-12-29,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Obsidian,Apps/Obsidian/docker-compose.yml,ok,,,,lscr.io/linuxserver/obsidian:1.8.10,1.8.10,2025-04-22,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Ollama,Apps/Ollama/docker-compose.yml,ok,,,,ollama/ollama:0.9.5,0.9.5,2025-07-02,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Ollama_Nvidia,Apps/Ollama_Nvidia/docker-compose.yml,ok,,,,ollama/ollama:0.9.5,0.9.5,2025-07-02,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Ombi,Apps/Ombi/docker-compose.yml,ok,,,,linuxserver/ombi:4.47.1,4.47.1,2025-01-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
OpenClaw,Apps/OpenClaw/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 icewhaletech/openclaw:2026.5.7,,icewhaletech/openclaw:2026.5.7,2026.5.7,2026-05-07,https://github.com/openclaw/openclaw/releases/tag/v2026.5.7,
OpenHAB,Apps/OpenHAB/docker-compose.yml,ok,,,,openhab/openhab:4.3.3,4.3.3,2025-02-20,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
OpenHands,Apps/OpenHands/docker-compose.yml,ok,,,,ghcr.io/all-hands-ai/openhands:0.59,0.59,2025-10-10,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
OpenSpeedTest,Apps/OpenSpeedTest/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,openspeedtest/latest:v2.0.6,v2.0.6,2025-03-18,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
OpenWebUI,Apps/OpenWebUI/docker-compose.yml,ok,,,,ghcr.io/open-webui/open-webui:ollama,ollama,2025-07-11,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
oPodSync,Apps/oPodSync/docker-compose.yml,ok,,,,ganeshlab/opodsync:latest,latest,2025-12-19,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Overseerr,Apps/Overseerr/docker-compose.yml,ok,,,,linuxserver/overseerr:1.33.2,1.33.2,2023-07-28,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
PdfDing,Apps/PdfDing/docker-compose.yml,ok,,,,mrmn/pdfding:v1.3.1,v1.3.1,2025-04-04,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Peanut,Apps/Peanut/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,brandawg93/peanut:5.19.1,5.19.1,2025-12-05,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Petio,Apps/Petio/docker-compose.yml,ok,,,,ghcr.io/petio-team/petio@sha256:1c5a9276a844f4284601cbe332905864950545ebdeaad74bacb9097ea4f4b333,sha256:1c5a9276a844f4284601cbe332905864950545ebdeaad74bacb9097ea4f4b333,2023-07-26,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
PhotoPrism,Apps/PhotoPrism/docker-compose.yml,ok,,,,photoprism/photoprism:250228,250228,2025-03-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Pihole,Apps/Pihole/docker-compose.yml,ok,,,,pihole/pihole:2025.11.1,2025.11.1,2025-12-23,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Pinchflat,Apps/Pinchflat/docker-compose.yml,ok_with_intentional_blank_fields,blank_link_fields_intentional,未改动；无可信官方来源时保留为空字符串,website,ghcr.io/kieraneglin/pinchflat:latest,latest,2025-06-19,local metadata policy and full link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Pingvin-Share,Apps/Pingvin-Share/docker-compose.yml,ok,,,,stonith404/pingvin-share,latest,2026-01-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
playit-agent,Apps/playit-agent/docker-compose.yml,ok,,,,ghcr.io/mafen/playit-docker:latest,latest,2024-12-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Plex,Apps/Plex/docker-compose.yml,fixed_this_run,outdated_image_tag_and_appfile_mismatch,compose image/version/updateAt/releaseNotes 更新到 lscr.io/linuxserver/plex:1.43.1；appfile image/latest_update_date 同步,,lscr.io/linuxserver/plex:1.43.1,1.43.1,2026-04-09,https://plex.tv/api/downloads/5.json,
Plex_Nvidia,Apps/Plex_Nvidia/docker-compose.yml,fixed_this_run,outdated_image_tag_and_bad_updateAt,compose image/version/updateAt/releaseNotes 更新到 lscr.io/linuxserver/plex:1.43.1，并与标准 Plex 条目统一 updateAt,,lscr.io/linuxserver/plex:1.43.1,1.43.1,2026-04-09,https://github.com/linuxserver/docker-plex/releases/tag/1.43.1.10611-1e34174b1-ls305,
PocketBase,Apps/PocketBase/docker-compose.yml,ok,,,,argonptg/pocketbase:0.25.9,0.25.9,2025-03-05,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Portainer,Apps/Portainer/docker-compose.yml,ok,,,,portainer/portainer-ce:2.31.3,2.31.3,2025-07-03,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
PostgreSQL,Apps/PostgreSQL/docker-compose.yml,ok,,,,postgres:17.4,17.4,2025-03-18,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
Prowlarr,Apps/Prowlarr/docker-compose.yml,fixed_this_run,version_image_mismatch_after_upstream_merge,version/updateAt/releaseNotes 对齐主镜像 linuxserver/prowlarr:2.3.5,,linuxserver/prowlarr:2.3.5,2.3.5,2026-04-04,https://github.com/Prowlarr/Prowlarr/releases/tag/v2.3.5.5327,
PsiTransfer,Apps/PsiTransfer/docker-compose.yml,merge_resolved,merge_conflict,合并冲突已解决；保留本地 version/updateAt/releaseNotes/repo/support/docs，接受 upstream 对 port target 的字符串化。,website,psitrax/psitransfer:v2.4.1,v2.4.1,2026-02-14,git merge upstream/main,
PyLoad,Apps/PyLoad/docker-compose.yml,ok,,,,linuxserver/pyload-ng:0.5.0,0.5.0,2024-01-25,local structural scan and link scan,非空 website/repo/support/docs 链接已参与全量网络复核
